member_sha256,occurrence_count,member_bytes,disposition,catalog_item_ids
017c41ac456fa612a3933472a2f4e3fa13671c193d5a24b054f33b5fbe7653be,2,674,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
017f8d354f47661e9275952a7367b48baaa6da7903ad5d9af970b09862c3df9c,1,3678,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0180573b96e3859c760f684d3003b499dd995f5ef2366c4d46706775f7c33a68,2,1448,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01825a0ae50ff84e4953fb8356d200cc26bac42c41336701751553aa321e32b2,2,290,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0184b2adc788231f3a3c47c29477cc19766e1d86757542a24114dffe25047ee4,2,23270,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
018e5ab416d2cccc87c6074c5990731e1fbe006779813807d49a04a178575917,42,1547,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
018eecbc11315e499985e8370fb2b39d00cd56d718f471d2c9878b3ca237930f,2,19244,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01b0414b141951cbe50db761524b0841f7209b24ef407afb3eb68047b6ab5cfe,2,1578,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,6,1,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01c3ccd5a05b0aaf494715997fb5ef31009d8493c49d7e44154b1abb18a27e68,2,1352,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01c483dc1d8d413b5c59c8ce7d30f09cd6661e5e7909fefd553392e983df8fc4,42,1835,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01ca8dc8096b2dbe539c25da12d8f644250c5d56eda4120f1f966d4d92dfa531,15,10529,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01d2a6242e0ba04a96f5c1cd787c30715162941ee1542763dc58549dd0168059,2,851,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01d5a9fcbbc4c008015833f8f5766d7f602137b10f65b8229d4213c9f62d4481,4,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01dcf263ffd4f8abbfdb7f62fa9f02d8be67ff3615e6270c7c436168b517eee1,15,2273,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01e0aa5fd0a3ad531682de2760b75e24bde5735755b0e7762d1d0f672794c558,2,602,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
01ff9eeaa5e62643b4f756d4f671edf04f43c2d45c8abd4cd362b0f8bb974ad7,15,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0202a76607c643103917e6c0ba9b03c0b74e17be093cb72d3f3abcc028b81e6f,15,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02031a05aa41d0215dd80bde23ac31d924441b9ce0f0e8669142c94171d9d355,2,13,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
020a7cc4bbc762052ad1e25e406884ef6f64d2dd0d68f04de859910d1bb80e09,2,43163,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
020d17f393433d2339edf2329e7982a938aa7cc29a4c6838800e77fe2945d1d7,2,1856,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02199f7c0da99033d61458c45fd5b1963e0e6ab82c68b407dd7834b0591df5b3,6,1923,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
021ccca933f0da0efe8be5b7165fb0871465f5228dead695317c475912f632d5,1,81640,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
022d06d760d5b0f3d414c47f853d0209f4c058ca2ce9c7e1f3c21c11ba088588,4,1924,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
022e15cbae7e23d35db016311275928feb31b0ff586a9acb0cdac2d873c06e20,2,1051,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0237a4f65dd8cc5a995b63ecf33d0fe1f07e28e7cd5ce40eb3c346511c13312a,14,2158,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0238b09a1c2e50606cbf6f17a96c726cb3d2726dc0aeeccab791cf4f659ce5c4,2,3330,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
023ac4163d51ebea7501643a13045383fd7a791a3d95fe33ca2e0cb2a13060c2,2,93187,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
024f936cd680e714da9ee1d9a267a5974656b7209b8a32b58893692f253e4625,2,3467,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
025299e9acc3eaad5ecba46ae816b6777629e85e7e36b72043e76a4218d35ade,2,1723,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
025bc2562c4433c352a935562613f96fb127364823233e75316e87fa5f858669,2,675,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0262cdac3489575a842ebfbb29c45753e0c2fa8e19b466d1734e4c4a183e6317,2,2407,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02732672ea39834b656e1c4670a001b607dbbd6b5d505cd4a39f8f49f3dd3413,2,741,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
027552c9b244a09a0563a32f32319704e5d6bae57a3cbd47fd541155706f9042,9,1080,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0276ef458ab59c2373dd03f14de210e2ad6421fc2e421e8b59304ccef9131a76,6,2315,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02790c5c4975ce158f194755588f505fde3c95c5f5f3d233017e57b4df6dde74,2,4316,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
027cb3b70eac39a8a1894fcb1dfbd640a0a7db9173adac2cbdbb9d58be05c637,2,1231,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0286c7351d1f7d678eb2025446dec69338ab1c3fe77ff21fa6ac9983c135f7c4,14,4203,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
028e6cbe0c40db77e84a5207b94106802225a955152488d6867eeb661ff8d416,2,1155,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02955d6c44621905190c0edc53ceced4d750bc8aa7b9fece4f910758d92dfcf2,4,7942,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02999d749b9b711436b0f5371ad50179e3ad90ffd54b902e68816a80f9afc4a2,2,1741,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0299c912a10b911346bdabf6ec427857b8121a5f1ef46fea439f413f77c0d71e,3,849,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02a57dc466a18cc7dc08e11bef5b129d1e8c4d9450414f855e9c7e3480d325f8,2,795,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02a7760ac93d836ab5a1cc0d7934b9fa8e899f9e3513d598598684127ed88b11,1,5257,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02b2b1188849881c0c22ff8cde6b6dbd2b5383578a3c9a3ba917469cb3e5d4b0,2,1732,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02c259f14f7de76605bfb24fc51c3c12c22c90c1428bad214eddd325b3c70ae8,2,46411,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02c4ed6aba728b5692d2291bf408e1d9554d265b3bcd3761901daf912c8c8661,2,4094,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02c7c34bb5c57ace304c7e5d74f75602ed1b1fcac1a048abe89858547bbd7bee,2,1373,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02cdfea58435a43bf1345268df6fb107c22783d1ebb125ef8fb789ab4b774c4f,2,144,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02debcc4b5aaca7e73c11477d1e48f346ba411d29584d3a7c31695d44b9f8e8c,15,1777,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
02f87bf29fe0331064645db2d3b87e13e21ac9f1a9ad8e56c5516a20c84fb02a,2,32768,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03022d15908ecf840200a4f540cfdaf361941f5e354c834b8d3c3b985c650111,2,941,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
030485939fd6bff4884764a2892ba0c50901b93061dfb1d5f166d4d6c5aabccf,2,46081,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
030c56daee9b9fe6044f60f479bf438edb3434e4a93320b1b199574cd77c1006,2,203,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
031582f1fa44c6b26d22d2321e3ec9e09b0df4629fa2a99190477562c770c49d,30,2497,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
0316ca046465a1e478d74917868d7c607b814ec5a15a30b2f6d6d04da8050260,2,6254,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
031d896300401dfa9897b50d1828c0951249109157abaaf351dac00de189f6f6,2,1794,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03212136b930572edfc7cf5c0ec2053ee4354856181fb6cd9abccdad30bc78b6,2,31,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
03237a1f79069913b5978a3ff1c64a876cc3bba1d2b6dfe07100035247e216be,6,3265,PRIVATE_LOCAL_ARCHIVE_EVIDENCE_DEFERRED_NO_PUBLIC_IMPORT,
