member_sha256,occurrence_count,member_bytes,disposition
1a6ec5d247f8902d89fc92249af7187dc6b67d1b595006b2bfaae0129fe6b434,1,753,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
1a99dee721cfdfdd4d5cc76e4c095be41cfc85b9ff44df4e4180b06844de99c4,1,1045,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1b3e81daa67aea6096e1806d797d911b5289c6f2fd46ffa39f19cdafca7d3adf,1,818,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1bd0abdff66a82f0cba9669005d879373f496b5f549b4fcd885408f204a4bef3,1,395,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1c7060cf1954844dcd53dffbb3eb22529e4eedafe52cff2145ad519e12ea7cb2,1,1734,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1c80a6f21439856f735902237e1047fcbdaf25e44bb50ed7f49b27374d1f22f3,1,1357,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1ca4a64ce0814f0831fc1e0b9ee4cc15ed789889f117f88217006e2b3a11ebf1,1,2796,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1d49a998136c24513ed1aae0ec1faf08d7a8cc2efe2e0ab519ba22a8b872319f,1,755,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1d68f6dfa2a0959136d876bfcf81de85e732275bfecc0ddbbb7e28e9b66dbc48,1,6004,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
1d6b4ca11af5d9ea3619b17ceba40679bf94a58c243a0aadf5c7f640c8fb38d2,2,987,EXACT_PUBLIC_BYTES_PRESENT
1dfe313671f95c2588d7bf082169eb0c20739d7bf18304cbf81f4f86d70f0dfa,4,14332,EXACT_PUBLIC_BYTES_PRESENT
1e8b9ed10b1dd615e77c3e56f5d381bc6e9fcf0fe602aa85f430f1dd84d3c764,6,11022,EXACT_PUBLIC_BYTES_PRESENT
1f36c905ed228edfbe99fe966f944b07055c8cb33e8743038314bd49dbe6191a,3,1431,EXACT_PUBLIC_BYTES_PRESENT
1fbd97bd04fc4ab09bc8c259ff045723128da831cfacfbe18ea0ebc8cdc3ebda,6,7044,EXACT_PUBLIC_BYTES_PRESENT
1ff4736bd28a6533af536bc4ac32721fe898ac304316aee5035e8f880b4558eb,1,798,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
209af705b7ca686d0bd94af2cd51ed4ae51379c9417d585d31f2d41af084f15c,2,532,EXACT_PUBLIC_BYTES_PRESENT
21013759c470a0b82ba248d04641926699e32767f2b6a2b8d52fe9898c2f7ea5,1,8942,EXACT_PUBLIC_BYTES_PRESENT
21d29b58de91678151bec2678c769688b6dc92e1afd98dc3204428925aa01573,1,1357,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
225cffba4ddc79b1a466bca704d7b1323dca94cf6ea2f615b3409bf74daffdf0,1,4745,EXACT_PUBLIC_BYTES_PRESENT
232c0489f47bf431eabb0d624fc0002b8524007fe438c51f714f0a341c25acf3,4,1445,EXACT_PUBLIC_BYTES_PRESENT
236d570a5bc1a149008cd20ae8493d53afd609a8585e01ffb46ae4df863b3af2,1,2665,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
23c129f9ce8803498de8abfb90c5e912bb378cb17836bb2f49a23512d8279125,1,685,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
240d3eb76083a76cf707440c4652c6f5681af5294a022dc2d167b06711025e0e,1,13687,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
24454daa2d6665452b433a7407be1af81fdb8587eaa4463a567b708d8947a672,1,3963,EXACT_PUBLIC_BYTES_PRESENT
2448c9a0466af385bc3ed2538d031a6a6144482d209f2e14c8a3c1ab726d8d25,3,1834,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
24eaef291d5a4a1525783683ad0d27454376a3648912eb649d3c607cd8727483,1,1519,PRIVATE_OR_DUPLICATE_OR_UNSELECTED_ARCHIVE_MEMBER_NO_PUBLIC_IMPORT
25d8cff74cc11fbbad992fe212f364ac4941d3245a52c890030103cc627f1812,4,2166,EXACT_PUBLIC_BYTES_PRESENT
