row_id,surface,kind,sha256,bytes,source_status,disposition
42,FILE_CARD,DOWNLOAD,a0ec4f114c5892715bc1277020cdfab8e1e8b2462d50f2831a1bd5995da463b0,243839,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
43,FILE_CARD,DOWNLOAD,ab5b352b63ea8d3f5dcc9d0b7baa22ccda9e84155bbec78b6eb73d0504d4b144,220168,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
44,FILE_CARD,DOWNLOAD,59006ddcb0c899432d9af8a628de2a9798b68832cc79c05e5ec6141f945acf2c,45342,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
45,FILE_CARD,DOWNLOAD,afb0ae8e72676efe0ad0a8205a24527cdc8cf1c7e2dfe302bd33f333806fa2ca,98302,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
46,FILE_CARD,DOWNLOAD,81f36961dfcb4479bd0bcc996520e5c04f32c8a91e4cd82260939bc68880f543,20122,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
47,FILE_CARD,DOWNLOAD,70fe469239241b1a4fbcb12f8f8328145e51641aca0d8521b861250fb6a78174,112347,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
48,FILE_CARD,DOWNLOAD,768b6617280b4ba049f657bb7efe5a174773f58bedd9e11b908eb6c5492f43da,22752,DOWNLOADED_AND_HASHED,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
49,FILE_CARD,DOWNLOAD,225cffba4ddc79b1a466bca704d7b1323dca94cf6ea2f615b3409bf74daffdf0,4745,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
50,FILE_CARD,DOWNLOAD,a0ec4f114c5892715bc1277020cdfab8e1e8b2462d50f2831a1bd5995da463b0,243839,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
51,FILE_CARD,DOWNLOAD,cc498ad8ffd4b571850a727f409b3f500192bac50de7d0e04c51609d757a61cb,220137,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
52,FILE_CARD,DOWNLOAD,ab5b352b63ea8d3f5dcc9d0b7baa22ccda9e84155bbec78b6eb73d0504d4b144,220168,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
53,FILE_CARD,DOWNLOAD,59006ddcb0c899432d9af8a628de2a9798b68832cc79c05e5ec6141f945acf2c,45342,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
54,FILE_CARD,DOWNLOAD,afb0ae8e72676efe0ad0a8205a24527cdc8cf1c7e2dfe302bd33f333806fa2ca,98302,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
55,FILE_CARD,DOWNLOAD,81f36961dfcb4479bd0bcc996520e5c04f32c8a91e4cd82260939bc68880f543,20122,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
56,FILE_CARD,DOWNLOAD,1702d64f4b96665711920474c6a2c682ee69706c550f8f579007ce5783326414,14342,DOWNLOADED_AND_HASHED,PUBLIC_SAFE_SOURCE_SUMMARIZED_NOT_IMPORTED
57,FILE_CARD,DOWNLOAD,2eb9da316de15d1bb5a4b84e8011da89706dbd7f32314c74c71303aa647cc4d3,12940,DOWNLOADED_AND_HASHED,PUBLIC_SAFE_SOURCE_SUMMARIZED_NOT_IMPORTED
58,FILE_CARD,DOWNLOAD,31fa5b249ede9a5cd7ee180c175f432fdd29c2d94d43321de95a0ecc40b08d9e,39767,DOWNLOADED_AND_HASHED,PUBLIC_SAFE_SOURCE_SUMMARIZED_NOT_IMPORTED
59,FILE_CARD,DOWNLOAD,d3729486468b26b22c534e485af50d9850fb56a9d678b07042e4673013bde654,36787,DOWNLOADED_AND_HASHED,PUBLIC_SAFE_SOURCE_SUMMARIZED_NOT_IMPORTED
60,FILE_CARD,DOWNLOAD,84980642f29a4d5afb20e7955e7206476733e7e297630376d66ac5b5227f8a2c,39449,DOWNLOADED_AND_HASHED,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
61,FILE_CARD,DOWNLOAD,9aceeb97ddc043b89440a4572d882c6938bc6e28972c370877097bc9fc88cf10,7210,DOWNLOADED_AND_HASHED,PUBLIC_HASH_RECEIPTED_NO_DUPLICATE_IMPORT
62,FILE_CARD,DOWNLOAD,70fe469239241b1a4fbcb12f8f8328145e51641aca0d8521b861250fb6a78174,112347,DOWNLOADED_AND_HASHED,EXACT_PUBLIC_BYTES_PRESENT
